District,Month,Visitors
Adilabad,January ,824987
Adilabad,February,599592
Adilabad,March,616384
Adilabad,April,624769
Adilabad,May ,695735
Adilabad,June,668510
Adilabad,July,8465858
Adilabad,August,663984
Adilabad,September,694871
Adilabad,October,842756
Adilabad,November,784582
Adilabad,December,824371
Hyd & R R Dist.,January ,902910
Hyd & R R Dist.,February,522845
Hyd & R R Dist.,March,751393
Hyd & R R Dist.,April,594667
Hyd & R R Dist.,May ,1145335
Hyd & R R Dist.,June,803711
Hyd & R R Dist.,July,725689
Hyd & R R Dist.,August,806756
Hyd & R R Dist.,September,621200
Hyd & R R Dist.,October,869958
Hyd & R R Dist.,November,818471
Hyd & R R Dist.,December,1036011
Karimnagar,January ,836924
Karimnagar,February,1409365
Karimnagar,March,1290865
Karimnagar,April,979542
Karimnagar,May ,1273858
Karimnagar,June,1130333
Karimnagar,July,19124512
Karimnagar,August,625540
Karimnagar,September,891100
Karimnagar,October,536076
Karimnagar,November,1259877
Karimnagar,December,1569395
Khammam,January ,450517
Khammam,February,439925
Khammam,March,643486
Khammam,April,525879
Khammam,May ,443210
Khammam,June,402618
Khammam,July,5876632
Khammam,August,514519
Khammam,September,469084
Khammam,October,610359
Khammam,November,414367
Khammam,December,564097
Mahbubnagar,January ,873775
Mahbubnagar,February,543568
Mahbubnagar,March,539322
Mahbubnagar,April,432527
Mahbubnagar,May ,466586
Mahbubnagar,June,431259
Mahbubnagar,July,432330
Mahbubnagar,August,481247
Mahbubnagar,September,469355
Mahbubnagar,October,442446
Mahbubnagar,November,601022
Mahbubnagar,December,1131305
Medak,January ,63195
Medak,February,711247
Medak,March,42595
Medak,April,44725
Medak,May ,46961
Medak,June,49309
Medak,July,50621
Medak,August,381057
Medak,September,285790
Medak,October,267260
Medak,November,153000
Medak,December,244500
Nalgonda,January ,756029
Nalgonda,February,711405
Nalgonda,March,89989
Nalgonda,April,656850
Nalgonda,May ,662185
Nalgonda,June,684385
Nalgonda,July,627537
Nalgonda,August,425044
Nalgonda,September,675537
Nalgonda,October,700694
Nalgonda,November,704465
Nalgonda,December,626788
Nizamabad,January ,781
Nizamabad,February,5856
Nizamabad,March,658
Nizamabad,April,732
Nizamabad,May ,718
Nizamabad,June,595
Nizamabad,July,1083
Nizamabad,August,765
Nizamabad,September,714
Nizamabad,October,723
Nizamabad,November,575
Nizamabad,December,619
Warangal,January ,1340115
Warangal,February,1291661
Warangal,March,789216
Warangal,April,535859
Warangal,May ,562757
Warangal,June,378160
Warangal,July,1730743
Warangal,August,600560
Warangal,September,383817
Warangal,October,626261
Warangal,November,733276
Warangal,December,836737